,id,lat,long,country,geom_data
0,2022-09-25ID1,15.8295,-88.3532,Guatemala,"15.8295,-88.3532"
1,2022-09-25ID2,27.6878,56.4581,ایران,"27.6878,56.4581"
2,2022-09-25ID3,4.3296,126.1082,Indonesia,"4.3296,126.1082"
3,2022-09-24ID4,-59.0489,-25.6239,South Atlantic Ocean,"-59.0489,-25.6239"
4,2022-09-24ID6,-15.0424,166.9613,Vanuatu,"-15.0424,166.9613"
5,2022-09-24ID7,-20.054,66.4575,Indian Ocean,"-20.054,66.4575"
6,2022-09-23ID8,-41.3802,-75.582,South Pacific Ocean,"-41.3802,-75.582"
7,2022-09-23ID10,-5.1329,125.5986,Indonesia,"-5.1329,125.5986"
8,2022-09-23ID11,3.8098,95.9872,Indonesia,"3.8098,95.9872"
9,2022-09-23ID12,-21.3794,-179.2635,South Pacific Ocean,"-21.3794,-179.2635"
10,2022-09-23ID13,18.5481,-103.6141,México,"18.5481,-103.6141"
11,2022-09-23ID14,-5.9957,148.6871,Papua Niugini,"-5.9957,148.6871"
12,2022-09-22ID15,-14.9558,-173.55,South Pacific Ocean,"-14.9558,-173.55"
13,2022-09-22ID20,-40.7598,174.0982,New Zealand / Aotearoa,"-40.7598,174.0982"
14,2022-09-22ID24,18.411,-102.9,México,"18.411,-102.9"
15,2022-09-21ID25,35.2102,141.2426,North Pacific Ocean,"35.2102,141.2426"
16,2022-09-21ID26,38.4925,45.0065,ایران,"38.4925,45.0065"
17,2022-09-21ID27,-6.0555,131.0082,Indonesia,"-6.0555,131.0082"
18,2022-09-21ID28,-5.4702,147.0256,Papua Niugini,"-5.4702,147.0256"
19,2022-09-20ID29,-1.2158,98.5759,Indonesia,"-1.2158,98.5759"
20,2022-09-20ID30,-55.7451,-27.4683,South Atlantic Ocean,"-55.7451,-27.4683"
21,2022-09-20ID31,55.532,166.3394,Bering Sea,"55.532,166.3394"
22,2022-09-20ID32,18.472,-103.5273,México,"18.472,-103.5273"
23,2022-09-20ID33,-15.5725,167.8959,Vanuatu,"-15.5725,167.8959"
24,2022-09-19ID35,18.4679,-103.8357,México,"18.4679,-103.8357"
25,2022-09-19ID36,-36.8757,78.5512,Indian Ocean,"-36.8757,78.5512"
26,2022-09-19ID44,18.171,-103.359,México,"18.171,-103.359"
27,2022-09-19ID45,-36.9542,78.2758,Indian Ocean,"-36.9542,78.2758"
28,2022-09-19ID47,-5.4202,146.5834,Papua Niugini,"-5.4202,146.5834"
29,2022-09-19ID48,23.4025,121.408,臺灣,"23.4025,121.408"
