,id,date,time,magnitude
0,2022-09-18ID2,2022-09-18,10:22:01,5.0
1,2022-09-18ID3,2022-09-18,10:05:01,5.5
2,2022-09-18ID4,2022-09-18,09:58:01,5.5
3,2022-09-18ID6,2022-09-18,09:04:01,5.2
4,2022-09-18ID7,2022-09-18,08:29:01,5.2
5,2022-09-18ID8,2022-09-18,08:28:01,5.7
6,2022-09-18ID9,2022-09-18,07:17:01,5.1
7,2022-09-18ID13,2022-09-18,06:53:01,5.2
8,2022-09-18ID14,2022-09-18,06:53:01,7.2
9,2022-09-18ID15,2022-09-18,05:39:01,5.6
10,2022-09-17ID16,2022-09-17,15:02:01,5.5
11,2022-09-17ID17,2022-09-17,14:53:01,5.1
12,2022-09-17ID19,2022-09-17,13:59:01,5.1
13,2022-09-17ID20,2022-09-17,13:52:01,6.6
14,2022-09-17ID21,2022-09-17,06:43:01,5.1
15,2022-09-17ID22,2022-09-17,05:44:01,5.2
16,2022-09-17ID23,2022-09-17,00:27:01,5.3
17,2022-09-17ID24,2022-09-17,00:16:01,5.5
18,2022-09-16ID25,2022-09-16,16:37:01,5.2
19,2022-09-16ID26,2022-09-16,04:57:01,5.1
20,2022-09-15ID28,2022-09-15,23:17:01,5.0
21,2022-09-15ID29,2022-09-15,14:15:01,5.1
22,2022-09-15ID30,2022-09-15,02:51:01,5.1
23,2022-09-14ID35,2022-09-14,11:12:01,7.0
24,2022-09-14ID36,2022-09-14,08:59:01,5.2
25,2022-09-14ID38,2022-09-14,05:18:02,6.0
26,2022-09-14ID40,2022-09-14,04:26:02,5.5
27,2022-09-13ID43,2022-09-13,21:21:02,5.1
28,2022-09-13ID44,2022-09-13,19:04:02,5.2
29,2022-09-13ID45,2022-09-13,18:56:01,5.1
30,2022-09-13ID46,2022-09-13,09:25:01,5.0
31,2022-09-13ID47,2022-09-13,03:58:01,5.0
32,2022-09-12ID48,2022-09-12,15:20:02,5.2
33,2022-09-12ID49,2022-09-12,08:35:02,5.6
34,2022-09-12ID50,2022-09-12,05:15:01,5.0
