,date,user,region,tweet,location,location_2,map_url,lat,long,magnitude
2,2022-08-21 15:48:01+00:00,earthquakeBot, occurred in Reykjanes Ridge. ,A 5.1 magnitude earthquake occurred in Reykjanes Ridge. Details: https://t.co/ROb1fngWLO Map: https://t.co/EO5hkHNqrk,North Atlantic Ocean,99GHJ86F+66,"https://www.google.com/maps/place/60%C2%B036'38.2%22N+28%C2%B040'36.8%22W/@60.6106,-28.6769,379486m/data=!3m1!1e3!4m5!3m4!1s0x0:0x1ba02b7397cdd34a!8m2!3d60.6106!4d-28.6769?hl=e",60.6106, -28.6769,5.1
5,2022-08-19 18:17:02+00:00,earthquakeBot, occurred in South Sandwich Islands region. ,A 5.2 magnitude earthquake occurred in South Sandwich Islands region. Details: https://t.co/pZ6pSe97nn Map: https://t.co/p1ytaitH3v,South Atlantic Ocean,39JP272V+M7,"https://www.google.com/maps/place/57%C2%B059'53.9%22S+25%C2%B042'24.5%22W/@-57.9983,-25.7068,409800m/data=!3m1!1e3!4m5!3m4!1s0x0:0xb763d583d78a0dd5!8m2!3d-57.9983!4d-25.7068?hl=e",-57.9983, -25.7068,5.2
8,2022-08-19 11:27:01+00:00,earthquakeBot, occurred in southern Mid-Atlantic Ridge. ,A 5.2 magnitude earthquake occurred in southern Mid-Atlantic Ridge. Details: https://t.co/Qw4VkcTzQM Map: https://t.co/GZqvD9RM8g,South Atlantic Ocean,5CFCF7RJ+69,"https://www.google.com/maps/place/20%C2%B030'33.8%22S+11%C2%B043'08.8%22W/@-20.5094,-11.7191,362137m/data=!3m1!1e3!4m5!3m4!1s0x0:0x67ad0a04660cc43!8m2!3d-20.5094!4d-11.7191?hl=e",-20.5094, -11.7191,5.2
9,2022-08-19 05:25:01+00:00,earthquakeBot, occurred in South Sandwich Islands region. ,A 5.3 magnitude earthquake occurred in South Sandwich Islands region. Details: https://t.co/TNBwjZIBXF Map: https://t.co/SuUAb3bl9Q,South Atlantic Ocean,39MJRJHP+FC,"https://www.google.com/maps/place/56%C2%B010'16.7%22S+27%C2%B021'50.0%22W/@-56.1713,-27.3639,215250m/data=!3m1!1e3!4m5!3m4!1s0x0:0x2b579ee572808416!8m2!3d-56.1713!4d-27.3639?hl=e",-56.1713, -27.3639,5.3
11,2022-08-19 03:02:01+00:00,earthquakeBot, occurred in southern Mid-Atlantic Ridge. ,A 5.1 magnitude earthquake occurred in southern Mid-Atlantic Ridge. Details: https://t.co/USiTXF4wQl Map: https://t.co/6sRoyb9eW5,South Atlantic Ocean,5CFCH625+5X,"https://www.google.com/maps/place/20%C2%B026'58.6%22S+11%C2%B047'24.4%22W/@-20.4496,-11.7901,362278m/data=!3m1!1e3!4m5!3m4!1s0x0:0xcacb99e20be2d296!8m2!3d-20.4496!4d-11.7901?hl=e",-20.4496, -11.7901,5.1
13,2022-08-18 21:54:01+00:00,earthquakeBot, occurred in southern Mid-Atlantic Ridge. ,A 5.1 magnitude earthquake occurred in southern Mid-Atlantic Ridge. Details: https://t.co/ngp1vvXyOJ Map: https://t.co/J3ZGk0GkPU,South Atlantic Ocean,5CF9QHGQ+F9,"https://www.google.com/maps/place/20%C2%B013'25.7%22S+12%C2%B024'41.8%22W/@-20.2238,-12.4116,362808m/data=!3m1!1e3!4m5!3m4!1s0x0:0xcde414d6b75991eb!8m2!3d-20.2238!4d-12.4116?hl=e",-20.2238, -12.4116,5.1
15,2022-08-18 18:03:01+00:00,earthquakeBot, occurred in southeast of the Loyalty Islands. ,A 5.0 magnitude earthquake occurred in southeast of the Loyalty Islands. Details: https://t.co/ZfbjEjW6NF Map: https://t.co/WsL7MeU94p,South Pacific Ocean,5V9HPM68+39,"https://www.google.com/maps/place/22%C2%B017'23.3%22S+171%C2%B039'57.2%22E/@-22.2898,171.6659,357753m/data=!3m1!1e3!4m5!3m4!1s0x0:0xa06a5c920d4f2ec5!8m2!3d-22.2898!4d171.6659?hl=e",-22.2898, 171.6659,5.0
18,2022-08-18 08:02:02+00:00,earthquakeBot," occurred in Minahasa, Sulawesi, Indonesia. ","A 5.4 magnitude earthquake occurred in Minahasa, Sulawesi, Indonesia. Details: https://t.co/1n0iGnJUTt Map: https://t.co/ipITDZzAlJ",Molucca Sea,"89RG+438 Motandoi, South Bolaang Mongondow Regency, North Sulawesi, Indonesia","https://www.google.com/maps/place/0%C2%B020'25.1%22N+124%C2%B022'30.7%22E/@0.3403,124.3752,386638m/data=!3m1!1e3!4m5!3m4!1s0x0:0xb7db711e0aedc9d2!8m2!3d0.3403!4d124.3752?hl=e",0.3403, 124.3752,5.4
19,2022-08-18 06:09:01+00:00,earthquakeBot," occurred 37.9mi ENE of Namie, Japan. ","A 5.1 magnitude earthquake occurred 37.9mi ENE of Namie, Japan. Details: https://t.co/Gx7GCwaXlT Map: https://t.co/5bdW4GCj1Y",North Pacific Ocean,8R93JMHF+9J,"https://www.google.com/maps/place/37%C2%B037'42.2%22N+141%C2%B040'26.8%22E/@37.6284,141.6741,306218m/data=!3m1!1e3!4m5!3m4!1s0x0:0x15ea3388b2a3b132!8m2!3d37.6284!4d141.6741?hl=e",37.6284, 141.6741,5.1
21,2022-08-18 02:28:01+00:00,earthquakeBot, occurred in Chile-Argentina border region. ,A 5.3 magnitude earthquake occurred in Chile-Argentina border region. Details: https://t.co/NMQzCckr9i Map: https://t.co/GN2LvpF8oU,"Requinoa, O'Higgins, Chile","MC3C+265 Requinoa, Chile","https://www.google.com/maps/place/34%C2%B020'51.0%22S+70%C2%B034'45.8%22W/@-34.3475,-70.5794,319226m/data=!3m1!1e3!4m5!3m4!1s0x0:0xcb5902d65daa4e70!8m2!3d-34.3475!4d-70.5794?hl=e",-34.3475, -70.5794,5.3
